Class	Stomach	Gills	Sed	WC
k__Bacteria;Other;Other	0	0	0.00E+00	0
k__Bacteria;p__;c__	0.00E+00	8.60E-02	8.50E-04	0
k__Bacteria;p__AC1;c__HDBW-WB69	0.00E+00	0.00E+00	0.00E+00	0
k__Bacteria;p__AC1;c__SHA-114	0.00E+00	0.00E+00	1.00E-04	0
k__Bacteria;p__Acidobacteria;c__	0	0	0.0003	0
k__Bacteria;p__Acidobacteria;c__AT-s2-57	0.00E+00	0	2.00E-04	0.000166667
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.00E+00	0	0.00125	0.00E+00
k__Bacteria;p__Acidobacteria;c__BPC102	0	0	0.0007	0
k__Bacteria;p__Acidobacteria;c__Holophagae	0.0014	0.001	2.00E-04	0
k__Bacteria;p__Acidobacteria;c__OS-K	0	6.00E-04	0.00575	0.000666667
k__Bacteria;p__Acidobacteria;c__RB25	0	0	0.0011	0
k__Bacteria;p__Acidobacteria;c__Solibacteres	0	0	5.00E-04	0
k__Bacteria;p__Acidobacteria;c__Sva0725	1.40E-03	5.00E-03	0.00195	0.00E+00
k__Bacteria;p__Acidobacteria;c__TM1	0.00E+00	0	0	0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	0	0.0002	0	0.000166667
k__Bacteria;p__Acidobacteria;c__iii1-8	0	0	5.00E-05	0
k__Bacteria;p__Actinobacteria;c__	0.0002	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.0026	0.0042	1.21E-02	0.052
k__Bacteria;p__Actinobacteria;c__Actinobacteria	3.80E-03	0.0086	0.00175	0.072166667
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0	0.00E+00	0.00E+00	0
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria	0	0.00E+00	0	0
k__Bacteria;p__Actinobacteria;c__OPB41	0.00E+00	0	0.0002	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.0002	0.0006	2.50E-04	0.000333333
k__Bacteria;p__Armatimonadetes;c__SJA-176	0.00E+00	0	0.00E+00	0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]	0	0.00E+00	0.00E+00	0
k__Bacteria;p__BHI80-139;c__	0.00E+00	0.00E+00	2.50E-04	0
k__Bacteria;p__BHI80-139;c__MD2896-B26	0	0.00E+00	5.00E-05	0
k__Bacteria;p__BRC1;c__	0	0	0.00E+00	0.00E+00
k__Bacteria;p__BRC1;c__PRR-11	0	0.00E+00	1.00E-04	0
k__Bacteria;p__Bacteroidetes;Other	0	0.00E+00	1.50E-04	0.00E+00
k__Bacteria;p__Bacteroidetes;c__	0	0	5.00E-05	0
k__Bacteria;p__Bacteroidetes;c__At12OctB3	0	0	0.0001	0
k__Bacteria;p__Bacteroidetes;c__BME43	0.0002	6.00E-04	0.0011	3.33E-04
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	8.20E-03	0.0034	0.0783	0.020333333
