Sample	Habitat	Site	denovo27904	denovo41356	denovo75857	denovo109526	denovo168050	denovo178360	denovo188915	denovo189681	denovo197867	denovo325256	denovo332829	denovo382441	denovo484015	denovo509076	denovo537034	denovo563582	denovo649427	denovo690290	denovo694227	denovo713257	denovo737280	denovo745024	denovo806217	denovo818245	denovo918728	denovo937800	denovo947874
AU-OLD-1-G	Gills	DU	1	1	0	0	5	0	0	0	0	0	0	282	0	0	0	1	0	5	0	3	1	0	0	1	1	1	3
AU-OLD-3-G	Gills	DU	4	0	1	0	4	2	7	6	4	1	0	91	5	0	0	7	2	1	0	1	1	2	4	3	2	3	0
AU-OLD-4-G	Gills	DU	1	2	0	2	4	0	2	0	0	0	0	209	1	1	2	4	2	1	0	1	0	3	1	1	1	1	1
DU-11-1-G	Gills	DU	1	10	9	6	46	3	2	5	1	10	0	106	19	1	2	2	0	1	4	2	13	7	6	4	1	13	9
DU-11-2-G	Gills	DU	0	1	1	1	10	0	1	1	0	3	0	12	0	1	1	1	0	0	5	0	4	1	0	19	0	1	6
DU-11-3-G	Gills	DU	0	0	1	0	0	0	0	0	0	0	1	806	0	0	0	0	1	2	0	0	0	0	0	2	0	0	3
DU-11-4-G	Gills	DU	2	0	0	0	5	0	0	5	0	0	0	818	0	0	0	2	0	1	1	0	2	0	0	3	0	0	1
DU-12-1-G	Gills	DU	1	1	0	2	8	0	2	8	3	1	0	685	1	1	5	0	0	1	0	1	3	3	1	2	1	1	8
DU-12-2-G	Gills	DU	4	19	1	3	17	6	4	8	3	5	1	61	6	0	11	5	8	1	5	3	3	4	7	1	1	4	7
DU-12-3-G	Gills	DU	7	3	0	2	28	0	1	4	1	2	0	395	1	4	13	0	2	5	2	0	15	0	4	7	3	1	19
DU-12-4-G	Gills	DU	6	7	1	5	34	1	3	11	1	10	0	189	7	4	10	3	2	0	2	10	13	2	1	1	9	7	15
DU-12-5-G	Gills	DU	10	6	1	11	13	4	9	25	2	4	0	5	10	0	5	8	5	1	2	1	2	12	9	2	8	21	14
DU-12-6-G	Gills	DU	1	4	4	0	107	1	2	13	0	10	0	429	0	10	21	2	0	1	5	1	42	3	3	1	3	4	7
DU-12-7-G	Gills	DU	9	0	0	17	11	10	10	20	10	9	0	23	17	3	3	11	3	0	0	7	2	17	11	0	8	20	0
DU-13-1-G	Gills	DU	4	5	2	3	106	1	1	7	1	19	13	146	3	5	25	1	3	1	10	2	31	3	2	2	3	6	23
DU-13-2-G	Gills	DU	14	12	0	8	32	2	12	34	3	19	0	175	9	7	22	3	8	2	7	12	35	6	13	0	15	9	4
DU-13-3-G	Gills	DU	19	7	5	8	8	8	12	27	8	3	2	33	21	3	29	19	9	5	1	15	1	24	10	2	15	19	4
DU-13-4-G	Gills	DU	3	1	0	4	22	6	5	11	5	2	1	265	5	1	24	3	3	4	1	5	10	11	3	0	5	12	7
DU-13-5-G	Gills	DU	9	3	1	5	35	2	3	18	2	9	2	458	2	3	18	0	3	0	2	5	9	6	12	0	4	9	2
DU-13-6-G	Gills	DU	1	8	0	0	2	0	0	0	0	2	11	3	3	1	98	0	2	0	2	4	3	1	0	0	0	1	1
RI-MID-1-G	Gills	RI	9	16	12	7	0	41	3	4	1	4	3	66	24	1	0	4	2	3	2	4	3	0	9	4	7	5	12
RI-MID-2-G	Gills	RI	0	12	9	0	1	6	0	0	0	0	115	0	8	0	0	0	0	2	0	0	0	1	0	6	0	0	1
RI-MID-3-G	Gills	RI	4	9	13	0	4	19	0	0	4	1	33	2	20	0	3	3	2	0	0	8	0	0	2	0	6	1	0
RI-MID-4-G	Gills	RI	1	4	33	3	2	6	1	4	5	4	0	36	22	3	1	0	0	1	12	0	3	0	2	0	2	1	20
RI-MID-5-G	Gills	RI	6	9	10	12	3	17	2	3	1	0	11	89	36	0	1	5	4	1	0	0	1	0	2	1	5	3	6
RI-MID-6-G	Gills	RI	4	30	24	7	9	12	0	5	2	6	8	98	17	2	5	2	3	2	2	0	21	1	1	2	2	1	9
RI-OCT-1-G	Gills	RI	1	1	0	2	0	2	1	1	2	5	0	142	1	0	0	0	1	0	2	2	0	0	2	1	0	1	4
RI-OCT-2-G	Gills	RI	8	2	3	8	7	7	4	6	4	8	1	36	11	6	2	2	15	0	6	2	3	2	8	0	0	4	0
RI-OCT-3-G	Gills	RI	3	1	1	0	3	0	0	1	2	1	2	112	5	1	3	0	0	0	3	0	0	0	0	0	3	1	6
RI-OCT-4-G	Gills	RI	8	1	0	0	44	18	0	6	9	2	97	94	47	9	7	0	10	7	22	6	2	0	8	6	4	8	0
WF-1-G	Gills	WF	0	0	1	2	3	4	0	2	1	0	2	571	0	2	0	0	0	0	4	2	0	0	8	3	4	2	3
WF-2-G	Gills	WF	0	5	6	2	16	0	0	5	3	1	1	227	1	7	18	0	0	0	3	4	12	0	6	4	0	1	1
WF-3-G	Gills	WF	0	2	1	0	9	0	0	1	0	0	10	89	7	1	11	0	0	1	4	0	22	8	0	0	7	12	4
WF-4-G	Gills	WF	3	0	1	0	2	4	0	2	0	2	25	304	1	1	5	0	7	4	2	0	0	1	1	4	0	0	8
WF-5-G	Gills	WF	2	2	4	5	2	10	0	3	2	0	44	287	0	0	4	0	0	1	0	0	1	1	17	1	6	1	3
AU-C-1	Sed	DU	3	0	0	0	0	0	3	3	0	3	0	0	5	3	0	0	0	0	0	0	0	0	0	0	3	0	0
AU-C-2	Sed	DU	3	0	0	0	3	0	3	3	3	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0
AU-C-3	Sed	DU	3	0	0	3	3	0	3	3	3	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0
AU-C-4	Sed	DU	3	0	0	0	3	0	3	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0
AU-C-5	Sed	DU	3	0	0	0	3	0	3	3	0	3	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	0
AU-Old-1	Sed	DU	3	0	0	0	0	0	3	3	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AU-Old-2	Sed	DU	0	0	0	0	3	0	3	3	3	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0
