Class	Stomach	Gills	Sed	WC
k__Bacteria;Other;Other	0	0.0001	0	0
k__Bacteria;p__;c__	0.000125	0.0002	4.67E-04	0
k__Bacteria;p__AC1;c__HDBW-WB69	0.00E+00	0.00E+00	3.33E-05	0
k__Bacteria;p__AC1;c__SHA-114	0.00E+00	0.00E+00	3.33E-05	0
k__Bacteria;p__Acidobacteria;c__	0.00E+00	1.00E-04	4.67E-04	0
k__Bacteria;p__Acidobacteria;c__AT-s2-57	0	0	0.000333333	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	2.50E-04	0.0005	8.67E-04	0
k__Bacteria;p__Acidobacteria;c__BPC102	0.00E+00	0.0002	0.000833333	0.00E+00
k__Bacteria;p__Acidobacteria;c__Holophagae	0.000125	0.0004	0.0003	0
k__Bacteria;p__Acidobacteria;c__OS-K	0.000125	0.0006	7.23E-03	0
k__Bacteria;p__Acidobacteria;c__RB25	0	1.00E-04	0.002133333	0
k__Bacteria;p__Acidobacteria;c__Solibacteres	0	0	0.000266667	0
k__Bacteria;p__Acidobacteria;c__Sva0725	0.000375	0.0008	2.60E-03	0
k__Bacteria;p__Acidobacteria;c__TM1	0.00E+00	0.00E+00	0	0.00E+00
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	0.00E+00	0	0	0
k__Bacteria;p__Acidobacteria;c__iii1-8	0	0	0	0
k__Bacteria;p__Actinobacteria;c__	0.000125	0.0001	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.003625	0.008	0.018266667	0.0185
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.00325	0.0078	1.03E-03	0.024833333
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.00E+00	0.0002	0	0
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria	0	0.00E+00	0.00E+00	0
k__Bacteria;p__Actinobacteria;c__OPB41	0.000125	2.00E-04	0.000333333	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	7.50E-04	0.0007	0.000533333	0
