Sample	Core_Counts	Total_reads	Percent_Core	Habitat	Site
 AU-OLD-1-G	305	1000	30.5	Gills	DU
 AU-OLD-3-G	500	1000	50	Gills	DU
 AU-OLD-4-G	240	1000	24	Gills	DU
 DU-11-1-G	283	1000	28.3	Gills	DU
 DU-11-2-G	400	1000	40	Gills	DU
 DU-11-3-G	816	1000	81.6	Gills	DU
 DU-11-4-G	840	1000	84	Gills	DU
 DU-12-1-G	739	1000	73.9	Gills	DU
 DU-12-2-G	800	1000	80	Gills	DU
 DU-12-3-G	519	1000	51.9	Gills	DU
 DU-12-4-G	354	1000	35.4	Gills	DU
 DU-12-5-G	190	1000	19	Gills	DU
 DU-12-6-G	674	1000	67.4	Gills	DU
 DU-12-7-G	221	1000	22.1	Gills	DU
 DU-13-1-G	428	1000	42.8	Gills	DU
 DU-13-2-G	463	1000	46.3	Gills	DU
 DU-13-3-G	317	1000	31.7	Gills	DU
 DU-13-4-G	419	1000	41.9	Gills	DU
 DU-13-5-G	622	1000	62.2	Gills	DU
 DU-13-6-G	143	1000	14.3	Gills	DU
 RI-MID-1-G	738	1000	73.8	Gills	RI
 RI-MID-2-G	483	1000	48.3	Gills	RI
 RI-MID-3-G	402	1000	40.2	Gills	RI
 RI-MID-4-G	498	1000	49.8	Gills	RI
 RI-MID-5-G	684	1000	68.4	Gills	RI
 RI-MID-6-G	825	1000	82.5	Gills	RI
 RI-OCT-1-G	513	1000	51.3	Gills	RI
 RI-OCT-2-G	465	1000	46.5	Gills	RI
 RI-OCT-3-G	444	1000	44.4	Gills	RI
 RI-OCT-4-G	1245	1000	124.5	Gills	RI
 WF-1-G	614	1000	61.4	Gills	WF
 WF-2-G	323	1000	32.3	Gills	WF
 WF-3-G	189	1000	18.9	Gills	WF
 WF-4-G	377	1000	37.7	Gills	WF
 WF-5-G	396	1000	39.6	Gills	WF
 AU-C-1	195	1000	19.5	Sed	DU
 AU-C-2	170	1000	17	Sed	DU
 AU-C-3	197	1000	19.7	Sed	DU
 AU-C-4	172	1000	17.2	Sed	DU
 AU-C-5	187	1000	18.7	Sed	DU
 AU-Old-1	172	1000	17.2	Sed	DU
 AU-Old-2	173	1000	17.3	Sed	DU
 AU-Old-3	176	1000	17.6	Sed	DU
 AU-Old-4	178	1000	17.8	Sed	DU
 AU-Old-5	182	1000	18.2	Sed	DU
 AU-R-1	172	1000	17.2	Sed	DU
 AU-R-2	156	1000	15.6	Sed	DU
 AU-R-3	207	1000	20.7	Sed	DU
 AU-R-4	214	1000	21.4	Sed	DU
 AU-R-5	164	1000	16.4	Sed	DU
 AU-Yon-1	180	1000	18	Sed	DU
 AU-Yon-2	217	1000	21.7	Sed	DU
 AU-Yon-3	212	1000	21.2	Sed	DU
 AU-Yon-4	190	1000	19	Sed	DU
 AU-Yon-5	201	1000	20.1	Sed	DU
 DU.12.1	186	1000	18.6	Sed	DU
 DU.12.2	150	1000	15	Sed	DU
 DU.12.3	197	1000	19.7	Sed	DU
 DU.12.4	209	1000	20.9	Sed	DU
 DU.12.5	194	1000	19.4	Sed	DU
 DU.13.1	197	1000	19.7	Sed	DU
 DU.13.2	228	1000	22.8	Sed	DU
 DU.13.3	225	1000	22.5	Sed	DU
 DU.13.4	190	1000	19	Sed	DU
 DU.13.5	234	1000	23.4	Sed	DU
 DU.C.1	173	1000	17.3	Sed	DU
 DU.C.2	200	1000	20	Sed	DU
 DU.C.3	338	1000	33.8	Sed	DU
 DU.C.4	203	1000	20.3	Sed	DU
 DU.C.5	225	1000	22.5	Sed	DU
 OCT.C.1	177	1000	17.7	Sed	DU
 OCT.C.10	201	1000	20.1	Sed	DU
 OCT.C.2	189	1000	18.9	Sed	DU
 OCT.C.3	239	1000	23.9	Sed	DU
 OCT.C.4	203	1000	20.3	Sed	DU
 OCT.C.5	187	1000	18.7	Sed	DU
 OCT.C.6	185	1000	18.5	Sed	DU
 OCT.C.7	190	1000	19	Sed	DU
 OCT.C.8	188	1000	18.8	Sed	DU
 OCT.C.9	140	1000	14	Sed	DU
 OCT.R.1	158	1000	15.8	Sed	DU
 OCT.R.2	213	1000	21.3	Sed	DU
 OCT.R.3	206	1000	20.6	Sed	DU
 OCT.R.4	179	1000	17.9	Sed	DU
 OCT.R.5	149	1000	14.9	Sed	DU
 RI.C.1	217	1000	21.7	Sed	RI
 RI.C.2	299	1000	29.9	Sed	RI
 RI.C.3	192	1000	19.2	Sed	RI
 RI.C.4	174	1000	17.4	Sed	RI
 RI.C.5	291	1000	29.1	Sed	RI
 RI.Mid.1	239	1000	23.9	Sed	RI
 RI.Mid.2	246	1000	24.6	Sed	RI
 RI.Mid.3	191	1000	19.1	Sed	RI
 Ri.Mid.4	231	1000	23.1	Sed	RI
