RI_SS	RI_GG	RI_SedSed	RI_WW	RI_SG	RI_Ssed	SU_SW	RI_Gsed	RI_GW	RI_SedW	DU_SS	DU_GG	DU_SedSed	DU_WW	DU_SG	DU_Ssed	SU_SW	DU_Gsed	DU_GW	DU_SedW	WF_SS	WF_GG	WF_SedSed	WF_WW	WF_SG	WF_Ssed	SU_SW	WF_Gsed	WF_GW	WF_SedW
0.771	0.847	0.55	0.884	0.886	0.899	0.963	0.976	0.879	0.932	0.67	0.758	0.571	0.325	0.94	0.895	0.897	0.935	0.887	0.947	0.388	0.569	0.514	0.356	0.955	0.969	0.957	0.944	0.9	0.875
0.739	0.854	0.637	0.614	0.83	0.905	0.98	0.981	0.982	0.995	0.66	0.68	0.549	0.63	0.839	0.916	0.883	0.94	0.887	0.939	0.423	0.714	0.549	0.753	0.951	0.966	0.959	0.946	0.888	0.877
0.889	0.795	0.589	0.605	0.715	0.901	0.982	0.985	0.923	0.971	0.633	0.676	0.53	0.609	0.806	0.89	0.94	0.931	0.892	0.943	0.741	0.592	0.525	0.813	0.933	0.971	0.959	0.955	0.915	0.72
0.73	0.822	0.613	0.688	0.772	0.891	0.972	0.98	0.89	0.948	0.634	0.848	0.526	0.331	0.828	0.896	0.942	0.93	0.895	0.937	0.45	0.566	0.539	0.451	0.907	0.98	0.904	0.957	0.927	0.847
0.774	0.796	0.606	0.818	0.86	0.886	0.964	0.972	0.924	0.961	0.53	0.438	0.526	0.347	0.835	0.883	0.904	0.924	0.887	0.943	0.309	0.572	0.532	0.556	0.898	0.97	0.969	0.949	0.906	0.906
0.725	0.786	0.568	0.866	0.768	0.902	0.977	0.985	0.963	0.981	0.639	0.629	0.549	0.511	0.889	0.88	0.891	0.933	0.883	0.929	0.713	0.625	0.569	0.744	0.944	0.978	0.926	0.95	0.892	0.878
0.619	0.823	0.648	0.968	0.753	0.894	0.94	0.973	0.851	0.926	0.626	0.802	0.524	0.473	0.867	0.875	0.847	0.924	0.872	0.872	0.336	0.611	0.527	0.81	0.916	0.972	0.903	0.956	0.845	0.885
0.765	0.87	0.599	0.873	0.82	0.905	0.967	0.978	0.964	0.976	0.812	0.792	0.518	0.683	0.871	0.889	0.846	0.938	0.878	0.915	0.695	0.707	0.55	0.463	0.901	0.972	0.908	0.942	0.85	0.883
0.642	0.782	0.607	0.576	0.877	0.907	0.98	0.982	0.908	0.963	0.713	0.894	0.524	0.633	0.83	0.882	0.939	0.927	0.901	0.933	0.295	0.604	0.546	0.574	0.912	0.976	0.889	0.947	0.875	0.72
0.556	0.711	0.596	0.492	0.854	0.921	0.964	0.985	0.892	0.943	0.721	0.259	0.58	0.459	0.95	0.885	0.874	0.93	0.907	0.928	0.729	0.456	0.627	0.78	0.901	0.976	0.931	0.954	0.896	0.837
