from	to	weight
denovo865512	denovo546966	0.67332904
denovo312011	denovo625280	0.70898489
denovo332497	denovo793987	0.62390756
denovo465364	denovo4019	0.65920822
denovo770210	denovo771933	0.63910008
denovo443347	denovo485079	0.62904857
denovo438676	denovo926974	0.70327518
denovo810581	denovo149763	0.62735297
denovo9480	denovo185188	0.60672357
denovo54958	denovo357995	0.75272839
denovo196613	denovo711207	0.60546553
denovo566440	denovo346507	0.60030306
denovo172949	denovo784180	0.66303523
denovo22559	denovo575972	0.66281775
denovo491682	denovo160315	0.7014425
denovo172616	denovo491682	0.7014425
denovo226095	denovo440555	0.72907097
denovo949593	denovo912806	0.77318276
denovo99864	denovo697199	0.61049855
denovo99864	denovo787440	0.81205217
denovo417872	denovo5004	0.70898489
denovo143866	denovo492113	0.69933974
denovo118680	denovo36685	0.61320987
denovo148634	denovo824360	0.60069451
denovo947562	denovo432515	0.7014425
denovo235519	denovo179517	0.60458119
denovo104148	denovo77105	0.60351042
denovo104148	denovo749449	0.60672357
denovo905668	denovo472608	0.66303523
denovo554086	denovo624285	0.60336377
denovo912916	denovo398218	0.6127473
denovo876932	denovo894558	0.7014425
denovo4868	denovo831370	0.770399
denovo611300	denovo672117	0.62364596
denovo302800	denovo850627	0.77321968
denovo118652	denovo455038	0.72233979
denovo298154	denovo375471	0.6034805
denovo450610	denovo295159	0.66412856
denovo223620	denovo420116	0.69064837
denovo949531	denovo32578	0.67112437
denovo277008	denovo212280	0.86525459
denovo818245	denovo504942	0.6128234
denovo148705	denovo913070	0.70708667
denovo366582	denovo900653	0.60458119
denovo890454	denovo366582	0.66533096
denovo666001	denovo387292	0.66776278
denovo928024	denovo297057	0.6001439
denovo514004	denovo349844	0.65999512
denovo442768	denovo493569	0.60998382
denovo565766	denovo213869	0.65382369
denovo671643	denovo571324	0.77321968
denovo71508	denovo77105	0.66533096
denovo71508	denovo493569	0.66412856
denovo582554	denovo492113	0.6067737
denovo58531	denovo657660	0.60672357
denovo492438	denovo676283	0.6311077
denovo492438	denovo323995	0.60028882
denovo894558	denovo799733	0.62735297
denovo747408	denovo539952	0.6298463
denovo323100	denovo699581	0.69947369
denovo208013	denovo566863	0.66280085
denovo847648	denovo237182	0.70898489
denovo82871	denovo475117	0.70898489
denovo82871	denovo913070	0.70522367
denovo725830	denovo681963	0.70898489
denovo294794	denovo689160	0.63069721
denovo562342	denovo339424	0.66412856
denovo506762	denovo202657	0.72329315
denovo59640	denovo455912	0.69947369
denovo711895	denovo5004	0.70898489
denovo906159	denovo642747	0.65415266
denovo1571	denovo663732	0.62654885
denovo1571	denovo244752	0.69934346
denovo160275	denovo661032	0.60808195
denovo7782	denovo571324	0.66663822
denovo201432	denovo582042	0.65184824
denovo50317	denovo161576	0.62004294
denovo50362	denovo810346	0.74731183
denovo436643	denovo36685	0.63988061
