"","variable","value"
"1","RI_SS",0.771
"2","RI_SS",0.739
"3","RI_SS",0.889
"4","RI_SS",0.73
"5","RI_SS",0.774
"6","RI_SS",0.725
"7","RI_SS",0.619
"8","RI_SS",0.765
"9","RI_SS",0.642
"10","RI_SS",0.556
"11","RI_SS",0.621
"12","RI_SS",0.529
"13","RI_SS",0.587
"14","RI_SS",0.874
"15","RI_SS",0.773
"16","RI_SS",0.851
"17","RI_SS",0.675
"18","RI_SS",0.763
"19","RI_SS",0.639
"20","RI_SS",0.533
"21","RI_SS",0.545
"22","RI_SS",0.672
"23","RI_SS",0.622
"24","RI_SS",0.545
"25","RI_SS",0.436
"26","RI_SS",0.401
"27","RI_SS",0.616
"28","RI_SS",0.58
"29","RI_SS",NA
"30","RI_SS",NA
"31","RI_SS",NA
"32","RI_SS",NA
"33","RI_SS",NA
"34","RI_SS",NA
"35","RI_SS",NA
"36","RI_SS",NA
"37","RI_SS",NA
"38","RI_SS",NA
"39","RI_SS",NA
"40","RI_SS",NA
"41","RI_SS",NA
"42","RI_SS",NA
"43","RI_SS",NA
"44","RI_SS",NA
"45","RI_SS",NA
"46","RI_SS",NA
"47","RI_SS",NA
"48","RI_SS",NA
"49","RI_SS",NA
"50","RI_SS",NA
"51","RI_SS",NA
"52","RI_SS",NA
"53","RI_SS",NA
"54","RI_SS",NA
"55","RI_SS",NA
"56","RI_SS",NA
"57","RI_SS",NA
"58","RI_SS",NA
"59","RI_SS",NA
"60","RI_SS",NA
"61","RI_SS",NA
"62","RI_SS",NA
"63","RI_SS",NA
"64","RI_SS",NA
"65","RI_SS",NA
"66","RI_SS",NA
"67","RI_SS",NA
"68","RI_SS",NA
"69","RI_SS",NA
"70","RI_SS",NA
"71","RI_SS",NA
"72","RI_SS",NA
"73","RI_SS",NA
"74","RI_SS",NA
"75","RI_SS",NA
"76","RI_SS",NA
"77","RI_SS",NA
"78","RI_SS",NA
"79","RI_SS",NA
"80","RI_SS",NA
"81","RI_SS",NA
"82","RI_SS",NA
"83","RI_SS",NA
"84","RI_SS",NA
"85","RI_SS",NA
"86","RI_SS",NA
"87","RI_SS",NA
"88","RI_SS",NA
"89","RI_SS",NA
"90","RI_SS",NA
"91","RI_SS",NA
"92","RI_SS",NA
"93","RI_SS",NA
"94","RI_SS",NA
"95","RI_SS",NA
"96","RI_SS",NA
"97","RI_SS",NA
"98","RI_SS",NA
"99","RI_SS",NA
"100","RI_SS",NA
"101","RI_SS",NA
"102","RI_SS",NA
"103","RI_SS",NA
"104","RI_SS",NA
"105","RI_SS",NA
"106","RI_SS",NA
"107","RI_SS",NA
"108","RI_SS",NA
"109","RI_SS",NA
"110","RI_SS",NA
"111","RI_SS",NA
"112","RI_SS",NA
"113","RI_SS",NA
"114","RI_SS",NA
"115","RI_SS",NA
"116","RI_SS",NA
"117","RI_SS",NA
"118","RI_SS",NA
"119","RI_SS",NA
"120","RI_SS",NA
"121","RI_SS",NA
"122","RI_SS",NA
"123","RI_SS",NA
"124","RI_SS",NA
"125","RI_SS",NA
"126","RI_SS",NA
"127","RI_SS",NA
"128","RI_SS",NA
"129","RI_SS",NA
"130","RI_SS",NA
"131","RI_SS",NA
"132","RI_SS",NA
