Habitats	Site	mean	sd	n	se
Gill-Gill	DU1	0.5	0.134135678473406	168	0.000798426657579798
Gill-Gill	DU2	0.5	0.296395970097516	212	0.00139809419857319
Gill-Gill	RI	0.5	0.146289769393534	90	0.00162544188215038
Gill-Gill	WF	0.5	0.105318689299618	20	0.0052659344649809
Gill-Sed	DU1	0.5	0.369756178478327	940	0.000393357636679072
Gill-Sed	DU2	0.5	0.386216472152162	1060	0.0003643551624077
Gill-Sed	RI	0.5	0.374949122870337	600	0.000624915204783896
Gill-Sed	WF	0.5	0.433839235676143	200	0.00216919617838072
Gill-Water	DU1	0.5	0.157975124205811	228	0.000692873351779873
Gill-Water	DU2	0.5	0.165146486389583	212	0.000778992860328221
Gill-Water	RI	0.5	0.179550892811046	120	0.00149625744009205
Gill-Water	WF	0.5	0.121655616323501	60	0.00202759360539168
Sed-Sed	DU1	0.5	0.120699556663326	1176	0.000102635677434801
Sed-Sed	DU2	0.5	0.115332825527461	1274	9.05281205082109e-05
Sed-Sed	RI	0.5	0.135086316862413	870	0.000155271628577486
Sed-Sed	WF	0.5	0.105718973317287	380	0.000278207824519176
Sed-Water	DU1	0.5	0.419111495103668	504	0.000831570426792992
Sed-Water	DU2	0.5	0.437528121545184	596	0.000734107586485208
Sed-Water	RI	0.5	0.460195017399143	360	0.0012783194927754
Sed-Water	WF	0.5	0.365145801108195	240	0.00152144083795081
Stom-Gills	DU1	0.5	0.154291829520284	336	0.000459201873572274
Stom-Gills	DU2	0.5	0.201147426312671	304	0.000661669165502206
Stom-Gills	RI	0.5	0.187979098597248	160	0.0011748693662328
Stom-Gills	WF	0.5	0.192720275507889	50	0.00385440551015778
Stom-Sed	DU1	0.5	0.391155405516759	752	0.000520153464782924
Stom-Sed	DU2	0.5	0.403879755797263	848	0.000476273296930735
Stom-Sed	RI	0.5	0.392802643184454	480	0.000818338839967611
Stom-Sed	WF	0.5	0.420913949357608	200	0.00210456974678804
Stom-Stom	DU1	0.5	0.0798245366206819	168	0.000475146051313583
Stom-Stom	DU2	0.5	0.14150181504833	72	0.00196530298678236
Stom-Stom	RI	0.5	0.09442996057685	56	0.00168624929601518
Stom-Stom	WF	0.5	0.196107540315055	20	0.00980537701575277
Stom-Water	DU1	0.5	0.135034840440458	242	0.000557995208431647
Stom-Water	DU2	0.5	0.163936045284118	266	0.000616300922120742
Water-Water	DU1	0.5	0.0861713885040813	62	0.00138986110490454
Water-Water	DU2	0.5	0.170032537562042	48	0.00354234453254254
Water-Water	RI	0.5	0.278134425450518	30	0.00927114751501726
Water-Water	WF	0.5	0.225558616894085	30	0.00751862056313615
