variable	Diss	SITE	Habitats	Sim	Site
DU_GG	0.146	DU	Gill-Gill	0.854	DU1
DU_GG	0.242	DU	Gill-Gill	0.758	DU1
DU_GG	0.259	DU	Gill-Gill	0.741	DU1
DU_GG	0.275	DU	Gill-Gill	0.725	DU1
DU_GG	0.31	DU	Gill-Gill	0.69	DU1
DU_GG	0.34	DU	Gill-Gill	0.66	DU1
DU_GG	0.396	DU	Gill-Gill	0.604	DU1
DU_GG	0.398	DU	Gill-Gill	0.602	DU1
DU_GG	0.414	DU	Gill-Gill	0.586	DU1
DU_GG	0.426	DU	Gill-Gill	0.574	DU1
DU_GG	0.438	DU	Gill-Gill	0.562	DU1
DU_GG	0.451	DU	Gill-Gill	0.549	DU1
DU_GG	0.454	DU	Gill-Gill	0.546	DU1
DU_GG	0.455	DU	Gill-Gill	0.545	DU1
DU_GG	0.458	DU	Gill-Gill	0.542	DU1
DU_GG	0.466	DU	Gill-Gill	0.534	DU1
DU_GG	0.471	DU	Gill-Gill	0.529	DU1
DU_GG	0.494	DU	Gill-Gill	0.506	DU1
DU_GG	0.502	DU	Gill-Gill	0.498	DU1
DU_GG	0.508	DU	Gill-Gill	0.492	DU1
DU_GG	0.514	DU	Gill-Gill	0.486	DU1
DU_GG	0.517	DU	Gill-Gill	0.483	DU1
DU_GG	0.527	DU	Gill-Gill	0.473	DU1
DU_GG	0.527	DU	Gill-Gill	0.473	DU1
DU_GG	0.527	DU	Gill-Gill	0.473	DU1
DU_GG	0.528	DU	Gill-Gill	0.472	DU1
DU_GG	0.528	DU	Gill-Gill	0.472	DU1
DU_GG	0.529	DU	Gill-Gill	0.471	DU1
DU_GG	0.532	DU	Gill-Gill	0.468	DU1
DU_GG	0.534	DU	Gill-Gill	0.466	DU1
DU_GG	0.542	DU	Gill-Gill	0.458	DU1
DU_GG	0.552	DU	Gill-Gill	0.448	DU1
DU_GG	0.559	DU	Gill-Gill	0.441	DU1
DU_GG	0.56	DU	Gill-Gill	0.44	DU1
DU_GG	0.565	DU	Gill-Gill	0.435	DU1
DU_GG	0.574	DU	Gill-Gill	0.426	DU1
DU_GG	0.579	DU	Gill-Gill	0.421	DU1
DU_GG	0.591	DU	Gill-Gill	0.409	DU1
DU_GG	0.592	DU	Gill-Gill	0.408	DU1
DU_GG	0.595	DU	Gill-Gill	0.405	DU1
DU_GG	0.602	DU	Gill-Gill	0.398	DU1
DU_GG	0.604	DU	Gill-Gill	0.396	DU1
DU_GG	0.607	DU	Gill-Gill	0.393	DU1
DU_GG	0.608	DU	Gill-Gill	0.392	DU1
DU_GG	0.614	DU	Gill-Gill	0.386	DU1
DU_GG	0.615	DU	Gill-Gill	0.385	DU1
DU_GG	0.616	DU	Gill-Gill	0.384	DU1
DU_GG	0.629	DU	Gill-Gill	0.371	DU1
