Class	Stomach	Gills	Sed	WC
k__Bacteria;Other;Other	0	2.86E-05	0	0
k__Bacteria;p__;c__	0.000586207	0.013114286	0.00071	4.35E-05
k__Bacteria;p__AC1;c__HDBW-WB69	0	0	1.00E-05	0
k__Bacteria;p__AC1;c__SHA-114	0	0	8.00E-05	0
k__Bacteria;p__Acidobacteria;c__	0	0.000114286	0.00038	0
k__Bacteria;p__Acidobacteria;c__AT-s2-57	3.45E-05	2.86E-05	0.00024	4.35E-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.000103448	0.000885714	0.00072	0
k__Bacteria;p__Acidobacteria;c__BPC102	6.90E-05	0.000314286	0.00087	0
k__Bacteria;p__Acidobacteria;c__Holophagae	0.000275862	0.000485714	0.00024	8.70E-05
k__Bacteria;p__Acidobacteria;c__OS-K	0.000275862	0.001228571	0.00696	0.000217391
k__Bacteria;p__Acidobacteria;c__RB25	0	0.000257143	0.00163	8.70E-05
k__Bacteria;p__Acidobacteria;c__Solibacteres	0	5.71E-05	0.0002	0
k__Bacteria;p__Acidobacteria;c__Sva0725	0.000827586	0.001771429	0.00199	0
k__Bacteria;p__Acidobacteria;c__TM1	0	5.71E-05	0	0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	0.000103448	2.86E-05	0	4.35E-05
k__Bacteria;p__Acidobacteria;c__iii1-8	0	0	1.00E-05	0
k__Bacteria;p__Actinobacteria;c__	0.000103448	2.86E-05	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.00562069	0.010714286	0.01428	0.02926087
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.009689655	0.010971429	0.0015	0.046478261
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0	5.71E-05	0	0
k__Bacteria;p__Actinobacteria;c__Nitriliruptoria	0	0	1.00E-05	0
k__Bacteria;p__Actinobacteria;c__OPB41	6.90E-05	0.000171429	0.00027	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.000551724	0.000885714	0.00041	8.70E-05
k__Bacteria;p__Armatimonadetes;c__SJA-176	0	2.86E-05	0	0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]	3.45E-05	0	1.00E-05	0
k__Bacteria;p__BHI80-139;c__	0	8.57E-05	0.00012	0
k__Bacteria;p__BHI80-139;c__MD2896-B26	0	0	3.00E-05	0
k__Bacteria;p__BRC1;c__	0	0	2.00E-05	0
k__Bacteria;p__BRC1;c__PRR-11	3.45E-05	2.86E-05	5.00E-05	0
k__Bacteria;p__Bacteroidetes;Other	0	2.86E-05	0.00021	0
k__Bacteria;p__Bacteroidetes;c__	0	0	4.00E-05	0
k__Bacteria;p__Bacteroidetes;c__At12OctB3	0	0	6.00E-05	0
k__Bacteria;p__Bacteroidetes;c__BME43	0.000241379	0.000371429	0.00124	8.70E-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.011793103	0.017485714	0.09089	0.009956522
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.002655172	0.006771429	0.01479	0.003130435
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.036241379	0.086857143	0.04843	0.222173913
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.000586207	0.001571429	0.00084	0.011434783
k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22	3.45E-05	5.71E-05	0	0
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi]	3.45E-05	0.001314286	0.0009	0.001217391
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.002896552	0.007428571	0.02655	0.007434783
k__Bacteria;p__Caldiserica;c__OP5	6.90E-05	0	2.00E-05	0
k__Bacteria;p__Caldithrix;c__Caldithrixae	3.45E-05	0.000685714	0.00861	8.70E-05
k__Bacteria;p__Chlamydiae;c__Chlamydiia	0.000758621	0.000657143	0.0003	0.000173913
k__Bacteria;p__Chlorobi;c__	0	2.86E-05	0.0002	0
