id	phylum	Class	abundance	degree	negdegree	posdegree	samplecount
denovo100175	 p__Proteobacteria	 c__Alphaproteobacteria	95	6	0	6	33
denovo100405	 p__Proteobacteria	 c__Gammaproteobacteria	259	12	1	11	107
denovo102975	 p__Cyanobacteria	 c__Chloroplast	9	3	0	3	3
denovo104148	 p__Proteobacteria	 c__Deltaproteobacteria	7	2	0	2	6
denovo10660	 p__Verrucomicrobia	 c__Verrucomicrobiae	5	1	0	1	3
denovo10786	 p__Proteobacteria	 c__Gammaproteobacteria	1021	3	0	3	27
denovo109968	 p__OP8	 c__OP8_2	14	1	0	1	5
denovo110765	 p__Cyanobacteria	 c__Chloroplast	5	12	0	12	3
denovo113436	 p__Bacteroidetes	 c__Flavobacteriia	9	3	0	3	4
denovo115360	 p__Cyanobacteria	 c__Chloroplast	5	1	0	1	5
denovo116046	 p__Proteobacteria	 c__Alphaproteobacteria	254	18	0	18	44
denovo118652	 p__Cyanobacteria	 c__Chloroplast	6	1	0	1	6
denovo118680	 p__Proteobacteria	 c__Gammaproteobacteria	17	1	0	1	12
denovo122647	 p__Cyanobacteria	 c__Synechococcophycideae	26	3	0	3	5
denovo125088	 p__Tenericutes	 c__Mollicutes	36	5	0	5	10
denovo126806	 p__Proteobacteria	 c__Deltaproteobacteria	13	3	0	3	6
denovo127199	 p__Bacteroidetes	 c__Bacteroidia	200	12	0	12	82
denovo129268	 p__Bacteroidetes	 c__[Rhodothermi]	37	1	0	1	15
denovo130040	 p__Proteobacteria	 c__Gammaproteobacteria	9	8	0	8	1
denovo134139	 p__Proteobacteria	 c__Alphaproteobacteria	8	1	0	1	3
denovo134544	 p__Proteobacteria	 c__Gammaproteobacteria	14	4	0	4	9
denovo139402	 p__Proteobacteria	 c__Gammaproteobacteria	9	1	0	1	4
denovo140664	 p__GN04	 c__GN15	11	1	0	1	11
denovo143161	 p__Proteobacteria	 c__Gammaproteobacteria	8	1	0	1	4
denovo143866	 p__Cyanobacteria	 c__ML635J-21	10	2	0	2	8
denovo144809	 p__Proteobacteria	 c__Deltaproteobacteria	679	4	0	4	148
denovo146038	 p__Bacteroidetes	 c__Flavobacteriia	240	5	0	5	81
denovo146154	 p__Verrucomicrobia	 c__Verrucomicrobiae	7	2	0	2	4
denovo148634	 p__Firmicutes	 c__Clostridia	5	1	0	1	5
denovo148705	 p__Spirochaetes	 c__[Brachyspirae]	5	1	0	1	4
denovo149366	 p__Cyanobacteria	 c__Chloroplast	6	1	0	1	6
denovo149763	 p__Proteobacteria	 c__Deltaproteobacteria	5	16	0	16	2
denovo149789	 p__Cyanobacteria	 c__Chloroplast	7	2	0	2	2
denovo150474	 p__Verrucomicrobia	 c__Verrucomicrobiae	6	1	0	1	4
denovo151234	 p__Tenericutes	 c__Mollicutes	1240	1	0	1	32
denovo15176	 p__Proteobacteria	 c__Gammaproteobacteria	219	7	0	7	92
denovo1571	 p__Actinobacteria	 c__Acidimicrobiia	627	6	0	6	30
denovo157136	 p__Proteobacteria	 c__Gammaproteobacteria	121	18	0	18	24
denovo157467	 p__PAUC34f	 c__	5	1	0	1	2
denovo160275	 p__Bacteroidetes	 c__Bacteroidia	115	2	0	2	61
denovo160315	 p__Proteobacteria	 c__Alphaproteobacteria	12	2	0	2	2
denovo161117	 p__Cyanobacteria	 c__Chloroplast	52	1	0	1	11
denovo161576	 p__Cyanobacteria	 c__Oscillatoriophycideae	14	10	0	10	8
denovo16355	 p__Tenericutes	 c__Mollicutes	16	3	0	3	8
denovo166268	 p__Tenericutes	 c__Mollicutes	35	2	0	2	5
denovo172616	 p__Proteobacteria	 c__Betaproteobacteria	7	1	0	1	2
denovo172949	 p__Bacteroidetes	 c__Flavobacteriia	5	1	0	1	3
denovo175066	 p__Proteobacteria	 c__Betaproteobacteria	150	2	0	2	26
denovo175797	 p__Proteobacteria	 c__Deltaproteobacteria	120	2	0	2	48
denovo17718	 p__Proteobacteria	 c__Gammaproteobacteria	141	3	0	3	67
denovo178360	 p__Proteobacteria	 c__Gammaproteobacteria	1381	1	0	1	152
denovo179517	 p__Proteobacteria	 c__Gammaproteobacteria	6	1	0	1	6
denovo184376	 p__Bacteroidetes	 c__[Saprospirae]	181	9	0	9	75
denovo184540	 p__Proteobacteria	 c__Alphaproteobacteria	11	1	0	1	3
denovo185188	 p__Proteobacteria	 c__TA18	5	1	0	1	4
denovo187017	 p__Proteobacteria	 c__Gammaproteobacteria	5	1	0	1	3
denovo188915	 p__Proteobacteria	 c__Gammaproteobacteria	1250	28	0	28	145
denovo189681	 p__Proteobacteria	 c__Gammaproteobacteria	2003	15	0	15	170
denovo192873	 p__Tenericutes	 c__Mollicutes	14	2	0	2	9
denovo194150	 p__Acidobacteria	 c__Holophagae	6	2	0	2	1
denovo194322	 p__Bacteroidetes	 c__Flavobacteriia	11	2	0	2	6
denovo19571	 p__Proteobacteria	 c__Gammaproteobacteria	7	8	0	8	2
denovo196613	 p__Proteobacteria	 c__Gammaproteobacteria	20	1	0	1	8
denovo197867	 p__Proteobacteria	 c__Deltaproteobacteria	1338	27	1	26	146
denovo198686	 p__Proteobacteria	 c__Alphaproteobacteria	510	21	0	21	53
denovo19886	 p__Cyanobacteria	 c__Oscillatoriophycideae	30	2	0	2	4
