"","x"
"1","DU.2...W"
"2","WF.C.1.W"
"3","WF.14.1.W"
"4","DU.13.2.G"
"5","DU.4...W"
"6","Upwelling"
"7","OCT.R.2.W"
"8","RI.OLD.1.W"
"9","RI.OCT.2.W"
"10","AU.Yon.1"
"11","AU.Yon.2"
"12","WF.5.S"
"13","OCT.C.2.W"
"14","RI.OCT.2"
"15","AU.Old.3"
"16","DU.12.2"
"17","OCT.R.5"
"18","WF.C.3"
"19","AU.C.5"
"20","AU.Old.2"
"21","AU.C.3"
"22","OCT.C.7"
"23","RI.C.2.W"
"24","Out.Upwelling"
"25","RI.OCT.3"
"26","WF.14.1"
"27","RI.Old.5"
"28","AU.C.4"
"29","DU.13.3.S"
"30","WF.14.2"
"31","OCT.C.9"
"32","RI.Old.4"
"33","OCT.R.3"
"34","AU.C.2.W"
"35","WF.OCT.1.W"
"36","WF.OCT.3"
"37","AU.Old.4"
"38","WF.2.G"
"39","WF.4.G"
"40","RI.OCT.6"
"41","RI.OCT.1"
"42","DU.3...W"
"43","WF.14.2.W"
"44","DU.12.1.W"
"45","AU.YON.2.W"
"46","WF.OCT.2.W"
"47","OCT.C.1.W"
"48","AU.YON.1.W"
"49","DU.12.5.G"
"50","AU.C.1.W"
"51","DU.12.4.G"
"52","RI.OCT.1.W"
"53","RI.C.1.W"
"54","WF.C.2.W"
"55","DU.12.5"
"56","RI.OCT.8"
"57","AU.C.2"
"58","AU.Yon.3"
"59","RI.Yon.1"
"60","WF.OCT.1"
"61","DU.C.4"
"62","AU.Old.1"
"63","RI.OCT.9"
"64","RI.OCT.5"
"65","RI.OCT.7"
"66","RI.Old.2"
"67","AU.C.1"
"68","RI.OCT.4.S"
"69","WF.12.1"
"70","OCT.R.2"
"71","AU.R.3"
"72","AU.Yon.5"
"73","AU.R.5"
"74","OCT.C.4"
"75","WF.C.1"
"76","WF.C.4"
"77","WF.12.2"
"78","WF.14.4"
"79","WF.OCT.5"
"80","WF.14.5"
"81","WF.14.3"
"82","WF.12.4"
"83","RI.Mid.3"
"84","OCT.R.1"
"85","WF.OCT.4"
"86","OCT.C.3"
"87","OCT.C.8"
"88","AU.R.2"
"89","WF.12.5"
"90","WF.C.5"
"91","DU.12.3"
"92","WF.OCT.2"
"93","OCT.R.4"
"94","OCT.C.10"
"95","AU.Old.5"
"96","RI.Yon.4"
"97","AU.R.1"
"98","RI.Mid.1"
"99","RI.C.5"
"100","RI.Yon.5"
"101","Ri.Mid.4"
"102","RI.Yon.2"
"103","RI.Yon.3"
"104","DU.13.1.S"
"105","OCT.C.1"
"106","DU.C.5"
"107","DU.12.7.G"
"108","RI.OCT.4"
"109","DU.13.3.G"
"110","DU.11.2.S"
"111","DU.12.1.S"
"112","RI.MID.1.G"
"113","RI.OCT.4.G"
"114","DU.12.3.G"
"115","DU.12.2.G"
"116","DU.12.4"
"117","OCT.C.6"
"118","AU.R.4"
"119","DU.13.3"
"120","DU.13.4"
"121","DU.12.2.S"
"122","WF.2.S"
"123","DU.12.1"
"124","DU.12.5.S"
"125","DU.13.1"
"126","OCT.C.2"
"127","DU.11.1.S"
"128","RI.Old.3"
"129","DU.C.3"
"130","DU.11.1.G"
"131","WF.5.G"
"132","DU.13.2"
"133","RI.MID.1.S"
"134","RI.OCT.2.S"
"135","WF.12.3"
"136","DU.C.2"
"137","RI.Mid.2"
"138","DU.13.6.G"
"139","OCT.C.5"
"140","RI.Old.1"
"141","DU.12.4.S"
"142","DU.13.1.G"
"143","RI.Mid.5"
"144","RI.OCT.10"
"145","WF.4.S"
"146","RI.OCT.3.G"
"147","WF.3.G"
"148","DU.13.5"
"149","AU.Yon.4"
"150","DU.13.2.S"
"151","RI.MID.5.G"
"152","RI.MID.6.G"
"153","RI.C.2"
"154","RI.MID.4.S"
"155","RI.C.1"
"156","RI.OCT.5.G"
"157","DU.C.1"
"158","DU.11.3.G"
"159","WF.C.2"
"160","WF.3.S"
"161","RI.C.3"
"162","DU.12.1.G"
"163","DU.11.4.S"
"164","DU.11.3.S"
"165","DU.12.3.S"
"166","RI.OLD.2.W"
"167","WF.1.S"
"168","AU.OLD.1.G"
"169","DU.13.5.S"
"170","DU.13.4.G"
"171","DU.13.5.G"
"172","DU.12.6.G"
"173","RI.OCT.1.G"
"174","RI.OCT.2.G"
"175","RI.OCT.5.S"
"176","RI.MID.4.G"
"177","RI.MID.3.G"
"178","DU.13.4.S"
"179","WF.1.G"
"180","DU.11.2.G"
"181","DU.11.4.G"
"182","DU.12.6.S"
"183","AU.OLD.3.G"
"184","RI.C.4"
"185","RI.OCT.3.S"
"186","AU.OLD.2.G"
"187","RI.OCT.1.S"
"188","DU.12.8.S"
"189","RI.MID.2.G"
"190","AU.OLD.4.G"
"191","DU.13.6.S"
"192","RI.MID.3.S"
"193","AU.OLD.2.S"
"194","AU.OLD.1.S"
"195","DU.12.7.S"
"196","RI.MID.6.S"
"197","RI.MID.2.S"
"198","RI.MID.5.S"
"199","DU.12.8.G"
"200","AU.OLD.4.S"
"201","AU.OLD.3.S"
